OZARK HEALTH,35.5755,-92.4529,2500 HIGHWAY 65 SOUTH,CLINTON,AR,(501) 745-7000,VAN BUREN,http://www.ozarkhealthinc.com
CENTRAL LOUISIANA SURGICAL HOSPITAL,31.3139,-92.4679,651 N BOLTON AVE,ALEXANDRIA,LA,(318) 443-3511,RAPIDES,http://www.clshospital.com
ALEXANDRIA VA MEDICAL CENTER,31.3542,-92.4371,2495 SHREVEPORT HWY 71 NORTH,PINEVILLE,LA,(318) 473-0010,RAPIDES,http://www.alexandria.va.gov/
STRAITH HOSPITAL FOR SPECIAL SURGERY,42.4646,-83.2614,23901 LAHSER,SOUTHFIELD,MI,NOT AVAILABLE,OAKLAND,http://straith.org/
ADVOCATE EUREKA  HOSPITAL,40.7214,-89.2716,101 S MAJOR ST,EUREKA,IL,(309) 467-2371,WOODFORD,http://www.advocatehealth.com/eureka/
EDWARD MCCREADY MEMORIAL HOSPITAL,37.9976,-75.8526,201 HALL HIGHWAY,CRISFIELD,MD,(410) 968-3011,SOMERSET,http://www.mccreadyfoundation.org
DOCTORS' COMMUNITY HOSPITAL,38.9827,-76.8652,8118 GOOD LUCK ROAD,LANHAM,MD,(301) 552-8085,PRINCE GEORGE'S,http://www.dchweb.org
"LAKELAND HOSPITAL, NILES",41.8279,-86.2605,31 NORTH ST JOSEPH AVE,NILES,MI,NOT AVAILABLE,BERRIEN,http://www.lakelandhealth.org/
ALLEGIANCE HEALTH,42.2507,-84.3927,205 N EAST AVE,JACKSON,MI,NOT AVAILABLE,JACKSON,http://www.allegiancehealth.org
GOOD SAMARITAN REGIONAL HLTH CENTER,38.3223,-88.9103,605 N 12TH STREET,MOUNT VERNON,IL,(618) 242-4600,JEFFERSON,http://www.smgsi.com
KNOX COUNTY HOSPITAL,36.8511,-83.8702,80 HOSPITAL DRIVE,BARBOURVILLE,KY,(606) 546-4175,KNOX,http://www.knoxcohospital.com
PINCKNEYVILLE COMMUNITY HOSPITAL,38.0811,-89.3833,101 N WALNUT,PINCKNEYVILLE,IL,(618) 357-2187,PERRY,http://pvillehosp.org/
SEABROOK HOUSE,39.5232,-75.2169,133 POLK LANE,SEABROOK,NJ,(800) 584-5584,CUMBERLAND,http://seabrookhouse.org/
THOMAS B FINAN CENTER,39.6559,-78.7361,COUNTRY CLUB ROAD PO BOX 1722,CUMBERLAND,MD,(301) 777-2240,ALLEGANY,http://www.dhmh.state.md.us
ROCHELLE COMMUNITY HOSPITAL,41.9283,-89.0634,900 N 2ND ST,ROCHELLE,IL,(815) 562-2181,OGLE,http://www.rcha.net
ROSELAND COMMUNITY HOSPITAL,41.6922,-87.6254,45 W 111TH STREET,CHICAGO,IL,(773) 995-3000,COOK,http://www.roselandhospital.org
THOREK MEMORIAL HOSPITAL,41.9552,-87.6516,850 W IRVING PARK RD,CHICAGO,IL,(312) 525-6780,COOK,http://www.thorek.org
RUSH UNIVERSITY MEDICAL CENTER,41.8746,-87.6689,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,(312) 942-5000,COOK,http://www.rush.edu
BEAVER DAM COM HSPTL,43.4484,-88.8261,707 S UNIVERSITY AVE,BEAVER DAM,WI,(920) 887-7181,DODGE,http://www.bdch.com
FORT HEALTHCARE,42.9311,-88.828,611 SHERMAN AVE E,FORT ATKINSON,WI,(920) 568-5000,JEFFERSON,http://www.forthealthcare.com
BALDWIN AREA MED CTR,44.9709,-92.3741,730 10TH AVE,BALDWIN,WI,(715) 684-3311,ST. CROIX,http://www.baldwinhospital.com
MAYO CLINIC HEALTH SYSTEM-OAKRIDGE INC,44.578,-91.2132,13025 8TH ST PO BOX 70,OSSEO,WI,(715) 597-3121,TREMPEALEAU,http://mayoclinichealthsystem.org/locations/osseo
AURORA LAKELAND MED CTR,42.6619,-88.4962,W3985 CTY RD NN,ELKHORN,WI,(262) 741-2000,WALWORTH,http://www.aurorahealthcare.org
VA BUTLER HEALTHCARE,40.8734,-79.9441,325 NEW CASTLE RD,BUTLER,PA,NOT AVAILABLE,BUTLER,http://www.butler.va.gov/
THOMAS E. CREEK VA MEDICAL CENTER,35.204,-101.906,6010 AMARILLO BLVD W,AMARILLO,TX,NOT AVAILABLE,POTTER,http://www.amarillo.va.gov/
VA MEDICAL CENTER - TOMAH,44.0031,-90.4933,500 E VETERANS ST,TOMAH,WI,(608) 372-3971,MONROE,http://www.tomah.va.gov/
BOCA RATON REGIONAL HOSPITAL,26.3587,-80.1028,800 MEADOWS RD,BOCA RATON,FL,(561) 955-7100,PALM BEACH,http://www.brrh.com
ST. BERNARDS MEDICAL CENTER,35.8365,-90.7026,225 EAST JACKSON AVENUE,JONESBORO,AR,(870) 972-4100,CRAIGHEAD,http://www.sbrmc.com/
HARDTNER MEDICAL CENTER,31.8607,-92.2756,1102 N PINE RD,OLLA,LA,(318) 495-3131,LA SALLE,http://www.hardtnermedical.com
MCLAREN LAPEER REGION,43.063,-83.3204,1375 N MAIN ST,LAPEER,MI,NOT AVAILABLE,LAPEER,http://www.lapeerregional.org
SANFORD HOSPITAL - WEBSTER,45.3398,-97.522,1401 WEST FIRST STREET,WEBSTER,SD,(605) 345-3336,DAY,http://www.sanfordhealth.org
EUREKA COMMUNITY HEALTH SERVICES,45.7722,-99.623,410 9TH STREET,EUREKA,SD,(605) 284-2661,MCPHERSON,http://www.avera.org
MERCY HOSPITAL BOONEVILLE,35.1403,-93.9352,880 WEST MAIN STREET,BOONEVILLE,AR,(479) 675-2800,LOGAN,http://www.boonevillehospital.com
LITTLE RIVER MEMORIAL HOSPITAL,33.6693,-94.1348,451 WEST LOCKE STREET,ASHDOWN,AR,(870) 898-5011,LITTLE RIVER,http://littlerivercounty.org/index.php/component/contact/34-hospital/98-little-river-memorial-hospital
GRANT MEMORIAL HOSPITAL,39.0014,-79.137,P O BOX 1019,PETERSBURG,WV,(304) 257-1030,GRANT,http://www.grantmemorial.com
SOUTH PENINSULA HOSPITAL,59.6525,-151.55,4300 BARTLETT STREET,HOMER,AK,(907) 235-8101,KENAI PENINSULA,http://www.sphosp.com/
CENTRAL PENINSULA GENERAL HOSPITAL,60.4932,-151.078,250 HOSPITAL PLACE,SOLDOTNA,AK,(907) 714-4404,KENAI PENINSULA,www.cpgh.org
ALASKA REGIONAL HOSPITAL,61.2107,-149.829,2801 DEBARR ROAD,ANCHORAGE,AK,(907) 276-1131,ANCHORAGE,http://www.alaskaregional.com/
HEART HOSPITAL OF AUSTIN,30.3059,-97.7411,3801 NORTH LAMAR,AUSTIN,TX,(512) 407-7000,TRAVIS,http://www.hearthospitalofaustin.com/
HEREFORD REGIONAL MEDICAL CENTER,34.8212,-102.391,801 EAST THIRD STREET,HEREFORD,TX,(806) 364-2141,DEAF SMITH,http://www.herefordregional.com
TRIUMPH HOSPITAL NORTH HOUSTON,29.8674,-95.408,7407 NORTH FREEWAY,HOUSTON,TX,(832) 200-6000,HARRIS,www.khnorthhouston.com
THE CONCIERGE,29.7404,-95.6245,2310 ELDRIDGE PKWY S,HOUSTON,TX,(281) 558-3900,HARRIS,Not Available
ALLEGIANCE HEALTH CENTER PERMIAN BASIN,31.9819,-102.154,207 TRADEWINDS BOULEVARD,MIDLAND,TX,(432) 699-3215,MIDLAND,http://www.ahmgt.com/
PARIS REGIONAL MEDICAL CENTER - SOUTH CAMPUS,33.6598,-95.5472,820 CLARKSVILLE STREET,PARIS,TX,(903) 785-4521,LAMAR,http://www.parisrmc.com
DUBUIS HOSPITAL OF PARIS,33.6879,-95.5477,820 CLARKSVILLE STREET,PARIS,TX,(903) 737-3600,LAMAR,http://www.dubuis.org/CHRISTUSDubuisHospitalofParis
SMITHVILLE REGIONAL HOSPITAL,30.0039,-97.136,800 EAST HIGHWAY 71,SMITHVILLE,TX,(512) 237-3214,BASTROP,http://www.srhnet.org
SCOTT AND WHITE CONTINUING CARE HOSPITAL,31.1215,-97.3992,546 KEGLEY ROAD,TEMPLE,TX,(254) 215-0900,BELL,http://www.sw.org/location/temple-cch
TRIUMPH HOSPITAL VICTORIA,28.8081,-96.9988,506 EAST SAN ANTONIO STREET 3RD FL,VICTORIA,TX,(361) 575-1445,VICTORIA,http://www.khvictoria.com
WILLIAM P. CLEMENTS JR. UNIVERSITY HOSPITAL,32.8189,-96.8491,"6161 HARRY HINES BOULEVARD, SUITE 100",DALLAS,TX,(214) 633-5555,DALLAS,http://www.lifecare-hospitals.com/hospital/dallas
CHEYENNE REGIONAL MEDICAL CENTER,41.1404,-104.816,214 EAST 23RD STREET,CHEYENNE,WY,(307) 634-2273,LARAMIE,http://www.crmcwy.org
RIVERTON MEMORIAL HOSPITAL,43.0347,-108.419,2100 WEST SUNSET DRIVE,RIVERTON,WY,(307) 856-3401,FREMONT,http://www.riverton-hospital.com
WYOMING RECOVER LLC,42.8476,-106.309,231 SOUTH WILSON,CASPER,WY,(307) 265-3791,NATRONA,http://www.wyomingrecovery.com/
DEER LODGE MEDICAL CENTER,46.4133,-112.727,1100 HOLLENBACK LANE,DEER LODGE,MT,(406) 846-2212,POWELL,http://www.pcmh.org
BILLINGS CLINIC,45.7895,-108.513,2800 10TH AVE N,BILLINGS,MT,(406) 657-4000,YELLOWSTONE,http://www.billingsclinic.com
VASSAR BROTHERS MEDICAL CENTER,41.6939,-73.9358,45 READE PL,POUGHKEEPSIE,NY,(845) 437-3073,DUTCHESS,http://www.health-quest.org/home_vb.cfm?id=11
